
text,label
"Your account has been suspended. Click here to verify immediately.",phishing
"Verify your bank details to avoid account closure.",phishing
"You have won a lottery prize. Claim now.",phishing
"Urgent action required. Login using the link below.",phishing
"Your PayPal account has been limited. Verify now.",phishing
"Meeting scheduled for tomorrow at 10 AM.",safe
"Please find the attached project report.",safe
"Thank you for your recent purchase.",safe
"Let's discuss the assignment in class.",safe
"Your interview has been scheduled for Monday.",safe
"Happy birthday! Wishing you a great year ahead.",safe
"Your order has been shipped successfully.",safe

